Search string                    Error Message
&amp;gt;                         E / Do not convert ampersand on conversion
&amp;divide;                     E / Do not convert ampersand on conversion
&amp;times;                      E / Do not convert ampersand on conversion
&amp;curren;                     E / Do not convert ampersand on conversion
&amp;pound;                      E / Do not convert ampersand on conversion
&amp;dollar;                     E / Do not convert ampersand on conversion
&amp;cent;                       E / Do not convert ampersand on conversion
&amp;yen;                        E / Do not convert ampersand on conversion
&amp;num;                        E / Do not convert ampersand on conversion
&amp;percnt;                     E / Do not convert ampersand on conversion
&amp;ast;                        E / Do not convert ampersand on conversion
&amp;commat;                     E / Do not convert ampersand on conversion
&amp;lsqb;                       E / Do not convert ampersand on conversion
&amp;rsqb;                       E / Do not convert ampersand on conversion
&amp;lcub;                       E / Do not convert ampersand on conversion
&amp;horbar;                     E / Do not convert ampersand on conversion
&amp;verbar;                     E / Do not convert ampersand on conversion
&amp;rcub;                       E / Do not convert ampersand on conversion
&amp;micro;                      E / Do not convert ampersand on conversion
&amp;ohm;                        E / Do not convert ampersand on conversion
